"Source:","C:\Users\veraf\Documents\VeraProjects\KXR\powerBoard\KiCad\KXRPowerBoardV2\KXRPowerBoardV2.kicad_sch"
"Date:","1/25/2023 4:23:05 PM"
"Tool:","Eeschema (6.0.6)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","138"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","COLOR","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","PARTREV","STANDARD"
"","","J4","AVIONICS","436500203:436500203","Footprints:MOLEX_436500203","","","Molex","5.57 mm","F3","Manufacturer Recommendations"
"","","J5","AUX","436500203:436500203","Footprints:MOLEX_436500203","","","Molex","5.57 mm","F3","Manufacturer Recommendations"
"","","J6","12V","436500203:436500203","Footprints:MOLEX_436500203","","","Molex","5.57 mm","F3","Manufacturer Recommendations"
"","","JP1","TERMINATION","Jumper:SolderJumper_2_Open","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~","","","","",""
"","","L1","2.2uH","pspice:INDUCTOR","Footprints:XAL7070-222MEC","~","","","","",""
"","","L2","2.2uH","pspice:INDUCTOR","Footprints:XAL7070-222MEC","~","","","","",""
"","","L3","4.7uH","pspice:INDUCTOR","Footprints:MGAH06034R7M","~","","","","",""
"","","LED1","STAT1","OLIMEX_Diodes:LED","LED_SMD:LED_0603_1608Metric","","GREEN","","","",""
"","","LED2","STAT2","OLIMEX_Diodes:LED","LED_SMD:LED_0603_1608Metric","","GREEN","","","",""
"","","LED3","FET4","OLIMEX_Diodes:LED","LED_SMD:LED_0603_1608Metric","","ORANGE","","","",""
"","","LED4","FET2","OLIMEX_Diodes:LED","LED_SMD:LED_0603_1608Metric","","ORANGE","","","",""
"","","LED5","5V","OLIMEX_Diodes:LED","LED_SMD:LED_0603_1608Metric","","RED","","","",""
"","","LED6","3V3","OLIMEX_Diodes:LED","LED_SMD:LED_0603_1608Metric","","RED","","","",""
"","","LED7","FET1","OLIMEX_Diodes:LED","LED_SMD:LED_0603_1608Metric","","ORANGE","","","",""
"","","LED8","FET3","OLIMEX_Diodes:LED","LED_SMD:LED_0603_1608Metric","","ORANGE","","","",""
"","","LED9","FET5","OLIMEX_Diodes:LED","LED_SMD:LED_0603_1608Metric","","ORANGE","","","",""
"","","Q3","BC846AWHE3","Device:Q_NPN_BCE","Package_TO_SOT_SMD:SOT-323_SC-70","~","","","","",""
"","","Q4","BC846AWHE3","Device:Q_NPN_BCE","Package_TO_SOT_SMD:SOT-323_SC-70","~","","","","",""
"","","Q5","BC846AWHE3","Device:Q_NPN_BCE","Package_TO_SOT_SMD:SOT-323_SC-70","~","","","","",""
"","","Q9","BC846AWHE3","Device:Q_NPN_BCE","Package_TO_SOT_SMD:SOT-323_SC-70","~","","","","",""
"","","Q10","BC846AWHE3","Device:Q_NPN_BCE","Package_TO_SOT_SMD:SOT-323_SC-70","~","","","","",""
"","","Q11","BC846AWHE3","Device:Q_NPN_BCE","Package_TO_SOT_SMD:SOT-323_SC-70","~","","","","",""
"","","R1","316k","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"","","R2","150k","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"","","R3","150k","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"","","R4","10k","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"","","R5","10k","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"","","R6","100k","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"","","R7","5.23k","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"","","R8","200","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"","","R9","200","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"","","R10","10k","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"","","R11","10k","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"","","R12","10k","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"","","R13","604K","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"","","R14","10k","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"","","R15","20","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"","","R16","10k","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"","","R17","10k","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"","","R18","10k","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"","","R19","10k","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"","","R20","68.1K 0.1%","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"","","R21","10K 0.1%","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"","","R22","200","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"","","R23","200","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"","","R24","68.1K 0.1%","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"","","R25","10K 0.1%","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"","","R26","120","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"","","R27","10k","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"","","R28","10k","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"","","R29","10k","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"","","R30","10k","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"","","R31","10k","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"","","R32","10k","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"","","R33","10k","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"","","R34","10k","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"","","R35","10k","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"","","R36","15k","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"","","R37","68","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"","","R38","200","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"","","R39","200","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"","","R40","200","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"","","R41","10k","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"","","R42","10k","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"","","R43","10k","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"","","R44","7.68k","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"","","R45","40.2k","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"","","R46","200","Device:R_Small_US","Resistor_SMD:R_0402_1005Metric","~","","","","",""
"","","RESET1","RESET","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","",""
"","","SWD1","SWD","Connector:Conn_01x04_Male","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","","",""
"","","U1","LT8642S","LT8642S:LT8642S","Footprints:LT8642SIVPBF","","","","","",""
"","","U2","LT8642S","LT8642S:LT8642S","Footprints:LT8642SIVPBF","","","","","",""
"","","U3","ACS711xLCTR-25AB","Sensor_Current:ACS711xLCTR-25AB","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.allegromicro.com/~/Media/Files/Datasheets/ACS711-Datasheet.ashx","","","","",""
"","","U4","STM32F103C8Tx","MCU_ST_STM32F1:STM32F103C8Tx","Package_QFP:LQFP-48_7x7mm_P0.5mm","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00161566.pdf","","","","",""
"","","U5","ACS711xLCTR-25AB","Sensor_Current:ACS711xLCTR-25AB","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.allegromicro.com/~/Media/Files/Datasheets/ACS711-Datasheet.ashx","","","","",""
"","","U6","ACS711xLCTR-25AB","Sensor_Current:ACS711xLCTR-25AB","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.allegromicro.com/~/Media/Files/Datasheets/ACS711-Datasheet.ashx","","","","",""
"","","U7","ACS711xLCTR-25AB","Sensor_Current:ACS711xLCTR-25AB","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.allegromicro.com/~/Media/Files/Datasheets/ACS711-Datasheet.ashx","","","","",""
"","","U8","SN65HVDA1040BQDRQ1","Interface_CAN_LIN:SN65HVD257D","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.ti.com/lit/ds/symlink/sn65hvd257.pdf","","","","",""
